"Guid","SBQQ__AttributeSet__c","SBQQ__ProductOption__c","SBQQ__Sequence__c"
36259577-4b82-48d3-9a82-f3f9c7eeedda,c37403f9-9032-46d1-b02d-5833b5073aa3,710b22d8-2843-4c86-8a47-9d75603832b7,1.0
71d61eb7-df36-44cb-969f-ebb210e25a66,c37403f9-9032-46d1-b02d-5833b5073aa3,78ecacc8-9e07-4fc8-9efc-9911958111ba,1.0
9b10e094-6151-4b81-b6ca-c851fece2f6c,c37403f9-9032-46d1-b02d-5833b5073aa3,5fa578cb-8526-4d7b-b48c-8b24ad555716,1.0
da022a7e-1e1e-4b0c-8ecc-644f069dc164,c37403f9-9032-46d1-b02d-5833b5073aa3,3b48947f-a5fe-4f28-ae53-0746ecfcdeb8,1.0
f902f63a-31c1-4fd3-bfdc-c7275e1a41a8,c37403f9-9032-46d1-b02d-5833b5073aa3,0153ea5f-d8c8-4626-b8ae-8d9daeab8572,1.0
