"Guid","SBQQ__AppliedImmediately__c","SBQQ__ApplyToProductOptions__c","SBQQ__AttributeSet__c","SBQQ__Attribute__c","SBQQ__AutoSelect__c","SBQQ__HiddenValues__c","SBQQ__Hidden__c","SBQQ__Required__c","SBQQ__Sequence__c","SBQQ__ShownValues__c"
67876f1c-6743-4735-9691-221290de646d,"#N/A","#N/A",c37403f9-9032-46d1-b02d-5833b5073aa3,04b09d02-c532-4e35-a7ba-9f32656039f6,"#N/A","#N/A","#N/A","#N/A",1.0,"#N/A"
dc7866fd-c3b6-4037-b4a6-d71c8c512c24,"#N/A","#N/A",c37403f9-9032-46d1-b02d-5833b5073aa3,453a7b92-d018-4411-b36f-ea0b1c861705,"#N/A","#N/A","#N/A","#N/A",1.0,"#N/A"
